industry_match,certifications,domestic_sourcing,revenue_size,erp_mrp,part_complexity,active_rfq,fast_procurement,reshoring_digital,warm_connection,strategic_account,negatives,subtotal_A,subtotal_B,subtotal_C,subtotal_D,negative_points,total_score,priority_tier,segment,pitch,next_step,Name,Website,Location,Company Type,Company Size (est.),Categories,Description
20,10,0,10,10,5,0,0,0,0,0,[],30,35,0,0,0,65,Medium,Aerospace/Defense,"Bracalente Manufacturing Company is a well-established contract manufacturer with a strong focus on precision machining and assembly in the Aerospace and Defense sectors. With ISO 9001 certification and an upcoming AS9100 certification, they are well-positioned for partnerships that require high-quality manufacturing capabilities.",Schedule a meeting to discuss potential collaboration opportunities and how our SaaS platform can enhance their operational efficiency.,Bracalente Mfg Co,https://www.bracalente.com/,"Trumbauersville, Pennsylvania",,350.0,"Electro-Mechanical Assembly,Fabrication,Machining,Sheet Metal,Wire Harness","History: BMG is a family owned and operated Contract Manufacturer specializing in Precision Machining Technology and Assembly. Founded in 1950 and is currently in its third generation Owner/President. Located in Southeastern Pennsylvania, Jacksonville Florida and in Shanghai China, BMG occupies over 95000 sq/ft of climate controlled manufacturing space with over 170 highly trained and skilled employees both in USA and in Asia. Markets: BMG serves a wide array of customers from markets in: Medical, Fluid Power, Alternative Energy, Pneumatic, Defense, Aerospace, Agriculture, Oil drilling/refining, Natural Resource Mining, Electronics and Recreation. Operations: BMG is ISO Certified to 9001:2000 and utilizes a complete electronic operating system to manage our business in a real time environment (Vantage by Epicor). We supply over 100 active customers with over 5000 unique part numbers and ship over 450,0000 parts per week. We have readily available capacity and are poised for growth. In addition to our ISO Certification, we will obtain the AS9100 Aerospace Certification by the first quarter of 2010. Culture: BMG employees define our company and our capabilities. We have a continuous improvement culture reinforced with a personalized company Gain Share Program. GAIN ""Get Actively Involved Now"" is a compensation plan that rewards the right behavior. Each and every employee is a Stakeholder at BMG. Global Manufacturing: As of 2008, BMG now has our own manufacturing plant in Suzhou, China. 100% owned and managed by direct BMG employees, this facility ovides the necessary controls to directly manage all processes and provides our customers with the convenience and assuredness of dealing directly with BMG USA. BMC Equipment List: 17 CNC Machining Centers 25 CNC Turn/Mill Machines 6 Rotary Transfer CNC Machines 40 Screw Machines Additional Equipment: Drilling, Milling, Tapping Grinding. Robotic Welding, Thread Rolling/Knurling Broaching, Stamping, Sawing, Deburring/Finishing"
20,10,5,10,0,5,0,0,0,0,0,[],35,25,0,0,0,60,Medium,Aerospace/Defense,"Trace-A-Matic is a strong candidate for our manufacturing SaaS platform, given its expertise in precision CNC machining for the aerospace and defense sectors. With ISO 9001 certification and a significant domestic presence, they align well with our focus on quality and local sourcing.",Schedule a discovery call to explore their current manufacturing processes and identify potential areas for digital transformation.,Trace-A-Matic,https://www.traceamatic.com/,"Brookfield, Wisconsin",Job Shop / Contract Manufacturer,350.0,Machining,"Trace-A-Matic produces precision CNC machined parts and assemblies for manufacturers in the aerospace, defense, food processing, heavy equipment, medical equipment, oil & gas, power generation, transportation, and general industry markets. The company’s state-of-the-art manufacturing facilities use the latest CNC machining technologies to produce complex and intricate components that meet or exceed the most critical tolerances. Products machined from castings, weldments, forgings, tubing, and bar stock range in weight from 1 pound to 15,000 pounds. The company has eight ISO 9001:2015 certified manufacturing locations in Brookfield, WI and Houston, TX and has been in business since 1968."
20,10,5,10,0,5,0,0,0,0,0,[],35,25,0,0,0,60,Medium,Aerospace/Defense,Erickson Incorporated is a leading player in the aerospace sector with extensive capabilities in manufacturing and MRO services. Their strong certifications and domestic sourcing emphasize their commitment to quality and reliability in the aviation industry.,Schedule a meeting to discuss potential collaboration opportunities and explore their current sourcing needs.,Erickson Incorporated,www.ericksonaviation.com,"Portland, Oregon",,750.0,"Electro-Mechanical Assembly,Machining,Stamping","WE ARE NOT JUST HELICOPTERS! WE MAKE ALL PARTS FAA CERTIFIED EASA CERTIFIED ISO 9001:2008 AS 9100 As a Type Certificate and Production Certificate holder for the Aircrane, Erickson, over the years, has complemented its MRO capabilities with a vast manufacturing capacity. It has the processes, machinery and infrastructure to manufacture parts and sub-assemblies under Part 21 and Part 29. For more than 40 years, Erickson Incorporated has developed a unique set of capabilities and skills to support, sustain, and improve legacy aircraft and operational performance. Our MRO (Maintenance, Repair, Overhaul) organization provides legacy operators around the world with maintenance, supply chain and engineering solutions to keep them flying safely and reliably. With more than 220 skilled mechanics and technicians cross-trained to work on various products and platforms, Erickson's MRO organization is both FAA and EASA certified, with a quality system compliant and approved to ASQR, QPS and AS9100 standards. Our Part 145 repair station offers a full and integrated array of services on a range of legacy platforms. Erickson has mastered the art of finding solutions to manufacture legacy helicopter parts and sustain supply chain reliability. Getting the right part, on time and for the right price is why we are the world's leader in medium to heavy-lift legacy helicopter support. As an OEM (Original Equipment Manufacturer) and partner for leading helicopter OEMs, we offer fully-integrated maintenance, manufacturing and engineering capabilities and a broad portfolio of turnkey services. From small component repairs to extensive heavy base maintenance, from engines and main gearboxes to avionics and re-wiring, Erickson can do it all. If you would like to review our website for extensive information on our company, please visis www.ericksonaviation.com . We will appreciate being considered a vendor!"
20,10,5,0,10,0,0,0,0,0,0,[],35,20,0,0,0,55,Low,Aerospace/Defense,"Integrated Manufacturing Tulsa is a certified ISO 9001 manufacturer specializing in tight tolerance metal fabrication for various industries, including aerospace. With a strong emphasis on domestic sourcing and advanced manufacturing capabilities, we are well-positioned to support OEMs looking for reliable partners.",Schedule a call to discuss potential collaboration opportunities and how we can meet your specific product needs.,Integrated Manufacturing Tulsa,https://www.imgtulsa.com/,"Tulsa, Oklahoma",Job Shop / Contract Manufacturer,30.0,"Fabrication,Sheet Metal","Integrated Manufacturing Tulsa specializes in tight tolerance metal fabrication, production welding, laser cutting, 5 Axis plasma cutting, press brake forming, powder and liquid paint coating for a wide range of industries. Our state of the art 4K fiber laser cuts mild steel, copper, brass, stainless, aluminum and other alloys. Our 48,000 SF manufacturing facility is centrally located within the lower 48 States and fully climate controlled to ensure quality year round.




  Integrated looks for long-term partnerships with OEMs to continually add value, improve processes and improve quality. We are also willing to add machine tools and processes to meet your specific product needs.




  ISO 9001:2015 compliant
  HUBZone Certified Manufacturer
  Strong planning and ERP managed process flow
  LEAN trained
  100% Made in USA




  Industries served include Aerospace Simulation, Architectural Lighting, Outdoor Cooking Appliances, Landscaping Machinery, LOTO Protection, Aerospace Manufacturing Fixtures, Architectural Metalwork Components, Oil and Gas and others."
20,10,0,0,0,0,15,0,0,5,0,[],30,0,15,5,0,50,Low,Aerospace/Defense,"LT CNC Machining is a certified AS9100 machine shop specializing in high-quality RF Housings and components for the aerospace sector. With a commitment to competitive pricing and on-time delivery, we are well-positioned to support your manufacturing needs.",Consider scheduling a meeting to discuss potential collaboration and pricing options.,LT CNC MACHINING,https://www.ltmachininginc.com/homepage.php,California,,30.0,"Fabrication,Gears,Machining","We are an AS9100 Certified Machine Shop in the Miramar area. We are always looking for new opportunities. We were brought aware to your company through an Outside Sales rep, that thought we would be a good match for you. We specialize in RF Housings, Amplifiers, Heat Sinks, and Waveguides for numerous Companies, local and across the country. We are very competitive with our bidding, we like to establish long term relations with our Customers, providing Quality Parts, On Time at a very competitive price. Please let us know if we can provide pricing, so you can compare and evaluate. Woman-Owned Minority and Was Approved by Government contractor Central Contractor Registration Certified (CCR) Directorate Of Defense Trade Controls (DDTC) AS9100 Certified Full QC Dept. 2 full shifts Programmable CMM Offer both Turning and Milling Some of our Customers: Boeing ATK Space Cohu HD. Cubic L3 Communications"
20,0,5,10,10,5,0,0,0,0,0,[],25,25,0,0,0,50,Low,Aerospace/Defense,"AO Precision Manufacturing excels in precision CNC machining, particularly in the Aerospace and Defense sectors. With a strong commitment to quality and advanced manufacturing capabilities, they are well-positioned to meet complex production demands.",Schedule a meeting to discuss potential collaboration opportunities and how our SaaS platform can enhance their manufacturing processes.,"AO Precision Manufacturing, LLC",https://aopmfg.com/,"Daytona Beach, Florida",,350.0,"Electro-Mechanical Assembly,Fabrication,Machining,Stamping,Wire Harness","Since 1982, AO Precision has excelled a delivering precision CNC machining on time and within budget. We’re proud to say that it’s all we know. Whether we’re working on a government contract, a critical aerospace component or any number of other precision requirements, our commitment to quality never changes. As evidence of this commitment, consider our continuing conformance to the Quality Program Requirement of MIL-Q-9858A. We are equally proud of our ability to balance the requirements of precision manufacturing with cost efficiency. This is amply displayed by our continued success in the manufacturing of Aerospace, Defense, Military and Commercial Firearm Components, Ammunition, Projectiles and Medical Parts and Components - fields that simultaneously demand close tolerances and economical unit cost. We assure precision production right from the start by designing and producing our own special tooling, fixtures and gauges in-house. This gives AO Precision a substantial edge when meeting tight production deadlines with equally tight cost requirements. Our CNC machining centers, lathes and grinders have produced an impressive array of items machined from a wide range of carbon and stainless steels, aluminum, titanium, plus many of the “super-alloys”. In addition, we maintain in-house resources for stamping, welding and broaching, as well as machining many plastics and phenolic resin compounds. Small or large in size, simple or complex in design, short run or large quantities; if precision, delivery and cost are all critical AO Precision manufacturing is your source. Solving application problems and dedicated engineering expertise are admirable qualities, but without the manufacturing capabilities to back them up, they don t mean much to the customer. With four companies under one umbrella we at At AO Precision understand the synergy of all aspects of the product development cycle which is why we place extraordinary emphasis on our manufacturing processes. With over 300,000 square feet, translating to capacity in excess of 100,000 man hours per month and 4 plant locations, precision machining, stamping and fabrication, machined medical parts and ammunition and projectiles, we at AO have made manufacturing a way of life. To meet our customers varied applications and stringent time requirements, we have invested heavily in the most advanced equipment and software available today. We’ve integrated all our N/C equipment to a computer-aided manufacturing (CAM) system to ensure exact tolerances (± .00015 on full travel and repeating accuracy with up to 14,000 r.p.m. spindle speeds) and a more cost-effective throughput. Our closed-loop MRP II manufacturing software generates material and manufacturing requirements automatically from order entry. And to meet JIT delivery commitments, our work centers are capacity-loaded and can simulate capacity levels prior to actual order receipt. AO also provides total turnkey assembly operations and we pride ourselves on performing all assembly operations in-house under our direct control. We employ statistical process control (SPC) throughout the production process, enabling employees to monitor and chart measurements, verifying that each machining step is within specification."
20,20,5,0,0,0,0,0,0,0,0,[],45,0,0,0,0,45,Low,Aerospace/Defense,"Las Cruces Machine, Mfg. & Engineering, Inc. is a certified AS9100 and ISO9001 manufacturer with extensive experience in aerospace components. Their commitment to quality and customer satisfaction, combined with a strong domestic sourcing emphasis, makes them a valuable partner for your manufacturing needs.",Schedule a meeting to discuss potential collaboration opportunities and how Las Cruces Machine can support your manufacturing requirements.,"Las Cruces Machine, Mfg. & Engineering, Inc.",www.lascrucesmachine.com,"MESILLA PARK, New Mexico",Job Shop / Contract Manufacturer,75.0,"Fabrication,Machining,Sheet Metal","Las Cruces Machine has been providing superior quality products on time to our diverse customer base for over 25 years. In fact over 96% of our customers do repeat business with us and have come to EXPECT AND GET MORE. This is because we are not only a quality supplier, we are a business partner focused on our customer’s success. We continually strive for process and technological improvements. Our workforce has over 75 years of machining expertise and has financial incentive to ensure your absolute satisfaction. We use a sophisticated software system to gather """"live"""" production and quality data while your parts are being manufactured. This enables us to proactively ensure you receive the best product at the best prices and when you want them, not retroactively.




  We look forward to servicing you.




  Please visit our website for more information about our company, equipment list and services - www.lascrucesmachine.com




  Company Statistics
  * Mesilla Park, NM (50 miles North of El Paso)
  * Founded in 1975
  * S Corporation
  * Operate three shifts 5 days per week
  * Currently Occupy 40,000 sq feet (ability to expand to 70,000)
  * 50 employees
  * Certified Women Owned Business




  Services
  * CNC Swiss Turn
  * Live Turn Capable w/YAxis
  * Up to 1"""" diameter
  * CNC turning
  * Mill-Turn Capability Seven Axis
  * Bar Feeds 2-1/2"""" capacity
  * Chuckers 10"""" capacity
  * CNC milling
  * Horizontal Machining Centers
  * 18x24 Envelope
  * Full fourth Axis
  * Five Axis with Rotary table
  * Vertical machining centers
  * 20x40 envelope
  * Fourth Axis




  Secondary Operations (NADCAP Upon Request)
  * Plating
  * Anodize
  * Heat Treat
  * Assembly
  * Complete Part




  Materials
  * Titanium
  * Iconel
  * Duplex Stainless Steel
  * Invar
  * Monel
  * Alloy Steels
  * Aluminum
  * Brass
  * Copper
  * Various Plastics




  Engineering




  * Complete engineering staff
  * Develop optimum mfg processes
  * Work on continuous improvement of mfg process
  * Work with customer to improve design for manufacturability
  * Participate in customer design review
  * Understand part and impact on product




  Quality








  * Complete quality staff
  * AS 9100 Rev C
  * ISO9001-2008
  * New parts qualified to AS9102
  * PPAPS




  Certifications




  * Woman Owned Business




  * DDTC




  * ITAR




  Inventory Programs
  * JIT
  * Kanban
  * Vendor managed inventory
  * Consignment"
20,20,5,0,0,0,0,0,0,0,0,[],45,0,0,0,0,45,Low,Aerospace/Defense,"AEP is a premier processing and bonding house in the aerospace industry, certified with AS9100 and NADCAP, ensuring top quality and compliance. With a strong emphasis on domestic sourcing and a wide range of capabilities, AEP is well-positioned to meet the needs of both commercial and military aerospace clients.",Schedule a meeting to discuss potential collaboration opportunities and explore how our SaaS platform can enhance AEP's operational efficiency.,AEP,https://aveprocessing.com/,"Costa Mesa, California",,,"3D Printing,Engineering & Design Services,Fabrication,Machining,Thermoforming","Aviation Equipment Processing is one of North America’s premier processing, bonding and composite houses. Established in 1970 it services both the commercial and military aerospace industries; we are one of the few companies approved to do Phosphoric Acid Anodizing (PAA) for majority of todays OEM’s. Our 54,000 ft2 facility is conveniently located in Southern California, just minutes from John Wayne Airport and 45 minutes from LAX. At AEP we work with companies across the globe. As such we are committed to superior service, top quality workmanship and the best turnaround times in the business. AS9100 Rev. D Certified NADCAP Accredited 54,000 sqft Facility in Costa Mesa, CA Composites Metal Bonding Class 100,000 Clean Room Chemical Processing Machining NDT –including Penetrant Inspect & Ultrasonic Prime and Paint Assembly •Phosphoric Acid Anodizing, FPL Etch and Application of BR-127 (Green and Black) and BMS5-42 for Bonding and to act as a corrosion inhibitor •Chem Film, Sulfuric Acid Anodizing and Titanium Clean •Metal to Metal Bonding (BAC5514) •Composite Forming and Structures •Honeycomb Bonding Panels •Penetrant and Ultrasonic Inspection •Hardness and Conductivity •Application of Aerospace Primers and Topcoat •Sub-Assemblies PRIMARY EQUIPMENT: •3,600 Sq Ft Controlled Environment •10’ x 25’ Autoclave, 650°F, 150 PSI •Phosphoric Acid Anodizing Lines with 24’ x 3.5’ x 9’ Tanks •Aluminum Pre-clean/Etch Line 3’ x 6’ x 4’ •Chem Film Sulfuric Acid Anodizing Lines with 3’ x 6’ x 4’ Tanks •(2) Ovens for Curing and Vacuum Bonding -20’ x 10’ x 9’ and 15’ x 10’ x 8’ •(2) Paint Booths Complete with HEPA Filtration •Multiple Ultrasonic Machines, one with 60"" travel and no vertical limit. Scanning capabilities include flat/concave panels and tube"
20,10,5,0,0,5,0,0,0,0,0,[],35,10,0,0,0,45,Low,Aerospace/Defense,"Custom Engineering Company is a well-established player in the aerospace and defense sectors, with strong certifications and a focus on quality manufacturing. Their expertise in large-scale fabrication and machining positions them as a valuable partner for complex projects.",Schedule a meeting to discuss potential collaboration opportunities and how our SaaS platform can enhance their operational efficiency.,Custom Engineering Company,www.customeng.com,"Erie, Pennsylvania",Job Shop / Contract Manufacturer,150.0,"Fabrication,Machining,Sheet Metal","Specialized in Large Scale Contract Fabrication and Machining Custom Engineering is a fully integrated ISO-9001:2015, ASME Section VIII (U - Stamp, R - Stamp, S - Stamp) certified, TPG certified and ITAR Registered contract manufacturing and machining company with more than 200,000 square feet of manufacturing space, Custom is a leading supplier of heavy fabrication, machining and assembly of large weldments to a wide variety of world class companies. Organizations in aerospace, military, energy, oil & gas and transportation rely on Custom's expertise and process quality controls to produce intricately machined components for complex requirements. Some examples include foundations and base plates for industrial generators, compressors and turbines; large oil pans, pressure vessels, hydraulic presses. In addition to manufacturing services, Custom Engineering has been long-known as the world leader in the design and manufacturer of new and replacement heated platens for lumber, OSB, strand board, plywood, veneers and laminates producers. www.customeng.com"
20,10,0,10,0,0,0,0,0,0,5,[],30,10,0,5,0,45,Low,Aerospace/Defense,"Vermont Aerospace Manufacturing, Inc. is a certified leader in the aerospace and defense sectors, offering superior quality and responsiveness. With a strong reputation as a prime supplier, we can provide significant value and cost savings to your operations.",Schedule a personalized tour of our facilities to explore how we can meet your manufacturing needs.,"Vermont Aerospace Manufacturing, Inc.",https://www.vtaerospace.com/,"Lyndonville, Vermont",Job Shop / Contract Manufacturer,350.0,"Fabrication,Machining,Sheet Metal","“Superior quality, highly responsive and overall best value” is how our customers describe us. We are a Woman-Owned HUBZone manufacturer serving the aerospace and defense industries. Vermont Aerospace Manufacturing is not just another machine shop; we are an outsourcing solution for your manufacturing needs.




  Located in the northeast region of Vermont, we are an ISO9001:2008 & AS9100 certified manufacturer. Our company employs highly skilled machinists, engineers, fabrication, and support personnel from two facilities. Considered a prime supplier for some of the largest aerospace and defense companies, we offer indispensable value and cost savings to your operations.




  Please take our Virtual Tour which encompasses our many Groups and their machines. Due to the proprietary nature of our business you will not find many parts in these pictures so please contact a member of our Sales staff and we would be pleased to give you a personalized tour at one or both of our facilities."
