Company Name,Website,Location,City,State/Province,Country,Booth,Hall,Description
2Serve Together,https://www.2servetogether.org,"Philadelphia, PA, United States",Philadelphia,PA,United States,435,Hall ABC,"2Serve Together honors and uplifts women in the armed forces by recognizing their service, expressing gratitude, and fostering meaningful connection. We do this through our culturally resonant networks, partnerships, and unwavering commitment to health and wellness resources. We honor and empower women veterans to thrive, connect, collaborate, and live fully."
4C North America,https://www.4c-na.org,"Orlando, FL, United States",Orlando,FL,United States,3742,Hall ABC,"4C North America is the global standard for training readiness and exercise management. We provide software that enables a rapid means to integrate scenarios with units, objectives, and resources for planning and provide a means to digitally observation and assessments of training. Exonaut - Affordable, Data Driven Readiness today."
A.W. Bell,https://www.awbell.com.au/,Australia,,,Australia,525,Hall ABC,"A global manufacturer of complex metal parts, we specialize in investment, sand and prototyping casting solutions. Casting in diverse alloys including titanium, aluminum and steels, our comprehensive capabilities also include precision machining, NADCAP-certified NDT and assembly. Proven partner with over 10 years experience supporting air, land, naval and space platforms."
AAR Mobility Systems,https://www.aarmobilitysystems.com,"AA, USA",,AA,USA,2415,Hall ABC,"AAR Mobility Systems is a leading global supplier of rapid deployment equipment, including mobile tactical shelters, pallets and expeditionary containers that enhance the military’s ability to mobilize, deploy, maneuver and sustain forces. AAR Mobility also manufactures large lightweight structural assemblies and platforms that support mission essential functions."
Acacia Systems,https://www.acres.com.au/,Australia,,,Australia,525,Hall ABC,"Supporting the Australian Defence Force since 1992, Acacia is a leading Australian defence software and systems engineering company engaged primarily in developing advanced mission management systems and tactical support applications. Acacia is a leading provider of Counter UAS Command and Control and weapons integrated BMS software to the Australian Army."
Accenture Federal Services,https://www.accenturefederal.com,"Arlington, VA, United States",Arlington,VA,United States,750,Hall ABC,"Accenture Federal Services delivers information superiority for defense and intelligence missions in the new era of AI. Our team empowers decisionmakers and warfighters with cutting-edge technology, actionable insights, and seamless connections from enterprise to the tactical edge at speed and scale. Learn more at www.accenturefederal.com."
"Accurate Energetic Systems, LLC",https://www.aesys.biz,"McEwen, TN, United States",McEwen,TN,United States,4021,Hall ABC,"Accurate Energetic Systems, LLC is a certified women-owned small business dedicated to the development and production for energetic products supporting defense and commercial markets. Our expertise includes processing bulk explosives, load/assemble/pack (LAP), casting of melt pour and cast cure explosive devices, pressing pellets, and explosive material pilot and scale-up. https://www.aesys.biz."
Accusonic Voice Systems,https://WWW.ACCUSONICVOICESYSTEMS.COM,"Johanna Morales, OP, USA",Johanna Morales,OP,USA,3254,Hall ABC,"AVS systems are deployed in both U.S. and international programs, including SINCGARS, IRIS, BOWMAN, and most recently, the JLTV program. The international collaboration between AVS and ODM empowers the development of innovative, integrated communication solutions that deliver clear, stable audio in high-noise environments, ensuring mission-critical performance."
"ADS, Inc",https://adsinc.com,"Virginia Beach, VA, United States",Virginia Beach,VA,United States,3125,Hall ABC,"Operating worldwide for over 28 years, ADS is the leading provider of operational equipment to the U.S. Department of Defense, Federal Agencies, and First Responders. Their purpose is to deliver the best equipment and technology to the men and women who are protecting our freedom."
"Advanced Cooling Technologies, Inc.",https://www.1-act.com/,"Lancaster, PA, United States",Lancaster,PA,United States,3746,Hall ABC,"Advanced Cooling Technologies, Inc. is a premier thermal management solutions company specializing in designing to mil-spec qualifications for a diverse set of markets, including Defense, Aerospace, Spacecraft, Electronics, Energy Recovery, Medical, Enclosure Cooling, and Calibration Equipment. ISO 9001: 2015 and AS9100 certified and ITAR registered."
Advanced Navigation,https://www.advancednavigation.com,USA,,,USA,525,Hall ABC,"Advanced Navigation is a global leader in APNT and autonomous system technologies. By leveraging capabilities in software-enhanced hardware, every solution delivers unrivalled capabilities and exceptional performance across land, air, sea and space applications where GPS is contested."
Advanced Technology International,https://www.ati.org,"Charleston, SC, United States",Charleston,SC,United States,3819,Hall ABC,"Advanced Technology International (ATI) fuels innovation for national security by leading high-impact R&D collaborations across government, industry, and academia. We reduce the burden on federal agencies by managing complex research initiatives and delivering end-to-end support—from expert contracting, financial management to training and event execution."
Advanced Technology Systems Company,https://atscva.com,"McLean, VA, United States",McLean,VA,United States,155,Hall ABC,"ATSC is a U.S. Defense and Government contracting company that specializes in providing government and defense agencies, domestic and global, with technology solutions for their Force Protection, Counter-Swarm UAS, Communication, Systems Integration, Cyber Security, and Logistics needs through our extensive domestic and Foreign Military Sales (FMS) experience."
Advantech,https://www.advantech-e.com/military/index.html,"Irvine, CA, United States",Irvine,CA,United States,1460,Hall ABC,"Advantech is a global leader in industrial computing products, system integration services, software, and customer-centric design services. We specialize in design, manufacturing, integration, and fulfillment services in embedded and ruggedized solutions. Advantech’s ruggedized boards are excellent solutions for users seeking flexible I/O and 24/7 reliability."
AeroGlow LLC,https://www.aeroglowinternational.com,"Fredericksburg, VA, United States",Fredericksburg,VA,United States,1360,Hall ABC,"Aeroglow LLC is the provider of the Hatch Lighting and Orientation (HaLO) Emergency Egress Lighting System (EELS) fitted to over 6,000 AFVs including those operated by SOCOM and the Marine Corps. The system is activated by Blast, Roll-Over, Fire or Water. TRL9 HaLO is fully qualified to meet all requirements."
Aeroservices S.A.,https://aeroservices.gr,Greece,,,Greece,7219,Hall DE,"AEROSERVICES S.A. since 1993 supports civilian, state and military organizations in Greece and Europe. In our facilities at Megara and Athens International Airports offering one stop shop aviation services to aircraft owners and operators. AEROSERVICES S.A. offers totalized support programs in a big range of activities."
Aimlock Inc.,https://www.aim-lock.com,"Littleton, CO, United States",Littleton,CO,United States,4345,Hall ABC,"Specializing in the development of autonomy for precision strike, counter-UxS, and remote weapon systems, AimLock enhances speed, accuracy, and standoff distances while lowering cognitive load on the operator. AimLock’s Core Targeting Modules offer decision accelerating autonomy in target detection, classification, identification, sensor fusion, target prioritization, and advanced firing solutions."
Aimpoint Inc,https://aimpoint.us/,"Manassas, VA, United States",Manassas,VA,United States,1955,Hall ABC,"Aimpoint red dot sights are trusted by hunters, sport shooters, military, and law enforcement officers around the world. Over 2 million sights have been supplied to the United States military since 1997. Today, Aimpoint is recognized globally as the most rugged, reliable, and efficient electronic sighting system in the world."
Airborne Systems,https://www.airborne-sys.com,"Pennsauken, NJ, United States",Pennsauken,NJ,United States,1311,Hall ABC,"Airborne Systems, with over 100 years of expertise, designs and manufactures top-tier parachutes for military and space applications. These include personnel and cargo parachutes, GPADS, oxygen systems, space and air vehicle recovery, and aircraft deceleration systems."
