name,booth,hall,profile_url,website,domain,all_urls,social_links,description,categories,email,phone,scraped_at,data_quality_score,location_raw_address,location_street,location_city,location_state,location_postal,location_country,location_country_code,location_lat,location_lng,location_accuracy
2Serve Together,435,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/8B5BB4CC-C754-4E98-BA45-85591456C7C4,https://www.2servetogether.org,www.2servetogether.org,['https://www.2servetogether.org'],{},"2Serve Together honors and uplifts women in the armed forces by recognizing their service, expressing gratitude, and fostering meaningful connection. We do this through our culturally resonant networks, partnerships, and unwavering commitment to health and wellness resources. We honor and empower women veterans to thrive, connect, collaborate, and live fully.",[],,,2025-08-25 15:23:01,0.8,"

Contact Info
Diana McWilliams
Executive Director

2Serve Together
186 Levering Street
Philadelphia, PA 19127",186 Levering Street,Philadelphia,PA,19127,United States,US,40.0273672,-75.2220786,geocoded
4C North America,3742,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/D8B42F47-038B-EF11-8109-89D6F48D9B9D,https://www.4c-na.org,www.4c-na.org,"['https://www.linkedin.com/company/https://www.linkedin.com/company/4c-strategies/', 'https://www.4c-na.org']",{'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/4c-strategies/'},"4C North America is the global standard for training readiness and exercise management. We provide software that enables a rapid means to integrate scenarios with units, objectives, and resources for planning and provide a means to digitally observation and assessments of training. Exonaut - Affordable, Data Driven Readiness today.",[],,,2025-08-25 15:23:07,0.8,"

Contact Info
Mollie Thorp
Sales to Operations Director

4C North America
12001 Research Parkway
Suite 436
Orlando, FL 32826",,Orlando,FL,32826,United States,US,28.5421109,-81.3790304,geocoded
A.W. Bell,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/7468B728-2C3C-F011-8109-89D6F48D9B9D,https://www.awbell.com.au/,www.awbell.com.au,"['https://www.linkedin.com/company/awbell', 'https://www.awbell.com.au/']",{'linkedin': 'https://www.linkedin.com/company/awbell'},"A global manufacturer of complex metal parts, we specialize in investment, sand and prototyping casting solutions. Casting in diverse alloys including titanium, aluminum and steels, our comprehensive capabilities also include precision machining, NADCAP-certified NDT and assembly. Proven partner with over 10 years experience supporting air, land, naval and space platforms.",[],,,2025-08-25 15:23:13,0.7,145 Abbotts Road,,,,,Australia,AU,-24.7761086,134.755,geocoded
AAR Mobility Systems,2415,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/8B91AA1D-388A-EF11-8107-E02365054D38,https://www.aarmobilitysystems.com,www.aarmobilitysystems.com,"['https://www.facebook.com/https://www.facebook.com/AARCORP', 'https://twitter.com/https://twitter.com/AARCORP', 'https://www.instagram.com/https://www.instagram.com/aarcorp/?hl=en', 'https://www.linkedin.com/company/https://www.linkedin.com/company/aar-corp/mycompany/', 'https://www.aarmobilitysystems.com']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/AARCORP', 'twitter': 'https://twitter.com/https://twitter.com/AARCORP', 'instagram': 'https://www.instagram.com/https://www.instagram.com/aarcorp/?hl=en', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/aar-corp/mycompany/'}","AAR Mobility Systems is a leading global supplier of rapid deployment equipment, including mobile tactical shelters, pallets and expeditionary containers that enhance the military’s ability to mobilize, deploy, maneuver and sustain forces. AAR Mobility also manufactures large lightweight structural assemblies and platforms that support mission essential functions.",[],,,2025-08-25 15:23:19,0.7," Sales IV

AAR Mobility Systems
201 Haynes Street
Cadillac, MI 49601",,,AA,,USA,US,39.0040958,-84.4410323,geocoded
Acacia Systems,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/32398F1B-2D3C-F011-8109-89D6F48D9B9D,https://www.acres.com.au/,www.acres.com.au,"['https://www.linkedin.com/company/linkedin.com/in/Horden Wiltshire', 'https://www.acres.com.au/']",{'linkedin': 'https://www.linkedin.com/company/linkedin.com/in/Horden Wiltshire'},"Supporting the Australian Defence Force since 1992, Acacia is a leading Australian defence software and systems engineering company engaged primarily in developing advanced mission management systems and tactical support applications. Acacia is a leading provider of Counter UAS Command and Control and weapons integrated BMS software to the Australian Army.",[],,,2025-08-25 15:23:25,0.7,5 Butler Drive,,,,,Australia,AU,-24.7761086,134.755,geocoded
ACAPULKA AS,7141,Hall DE,https://maps.goeshow.com/ausa/annual/2025/D68E051A-993D-F011-8109-89D6F48D9B9D,,,[],{},"Acapulka produces sleds designed for expeditions in the toughest climates. Expedition professionals have relied on Acapulka’s rigor-tested sleds as their go-to equipment in Arctic, Antarctic and Greenland journeys.",[],,,2025-08-25 15:23:30,0.5,,,,,,United States,US,39.7837304,-100.445882,geocoded
Accenture Federal Services,750,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/D889EDE5-2E8A-EF11-8107-E02365054D38,https://www.accenturefederal.com,www.accenturefederal.com,"['https://www.linkedin.com/company/https://www.linkedin.com/company/accenturefederalservices/', 'https://www.accenturefederal.com']",{'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/accenturefederalservices/'},"Accenture Federal Services delivers information superiority for defense and intelligence missions in the new era of AI. Our team empowers decisionmakers and warfighters with cutting-edge technology, actionable insights, and seamless connections from enterprise to the tactical edge at speed and scale. Learn more at www.accenturefederal.com.",[],,,2025-08-25 15:23:36,0.8,"

Contact Info
Casey Wolfe

Accenture Federal Services
800 North Glebe Road
Suite 300
Arlington, VA 22203",,Arlington,VA,22203,United States,US,38.8769326,-77.0893094,geocoded
"Accurate Energetic Systems, LLC",4021,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/2B51CD14-5E8A-EF11-8107-E02365054D38,https://www.aesys.biz,www.aesys.biz,['https://www.aesys.biz'],{},"Accurate Energetic Systems, LLC is a certified women-owned small business dedicated to the development and production for energetic products supporting defense and commercial markets. Our expertise includes processing bulk explosives, load/assemble/pack (LAP), casting of melt pour and cast cure explosive devices, pressing pellets, and explosive material pilot and scale-up. https://www.aesys.biz.",[],,,2025-08-25 15:23:41,0.8," LLC
5891 Highway 230 West
McEwen, TN 37101",,McEwen,TN,37101,United States,US,36.1099172,-87.6349344,geocoded
Accusonic Voice Systems,3254,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/F3F51A2C-268B-EF11-8109-89D6F48D9B9D,https://WWW.ACCUSONICVOICESYSTEMS.COM,WWW.ACCUSONICVOICESYSTEMS.COM,['https://WWW.ACCUSONICVOICESYSTEMS.COM'],{},"AVS systems are deployed in both U.S. and international programs, including SINCGARS, IRIS, BOWMAN, and most recently, the JLTV program. The international collaboration between AVS and ODM empowers the development of innovative, integrated communication solutions that deliver clear, stable audio in high-noise environments, ensuring mission-critical performance.",[],,,2025-08-25 15:23:47,0.6,"

Contact Info
Johanna Morales
OPERATIONS MANAGER

Accusonic Voice Systems
100 Executive Drive
Suite G
Brentwood, NY 11717",,Johanna Morales,OP,,USA,US,,,unknown
"ADS, Inc",3125,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/BD51C064-A489-EF11-8107-E02365054D38,https://adsinc.com,adsinc.com,"['https://www.facebook.com/facebook.com/https://www.facebook.com/adsinc', 'https://twitter.com/twitter.com/https://twitter.com/ADSTactical', 'https://www.instagram.com/instagram.com/https://www.instagram.com/ads_inc/', 'https://www.linkedin.com/company/linkedin.com/in/linkedin.com/company/ads-inc/', 'https://adsinc.com']","{'facebook': 'https://www.facebook.com/facebook.com/https://www.facebook.com/adsinc', 'twitter': 'https://twitter.com/twitter.com/https://twitter.com/ADSTactical', 'instagram': 'https://www.instagram.com/instagram.com/https://www.instagram.com/ads_inc/', 'linkedin': 'https://www.linkedin.com/company/linkedin.com/in/linkedin.com/company/ads-inc/'}","Operating worldwide for over 28 years, ADS is the leading provider of operational equipment to the U.S. Department of Defense, Federal Agencies, and First Responders. Their purpose is to deliver the best equipment and technology to the men and women who are protecting our freedom.",[],,,2025-08-25 15:23:52,0.8," Inc
621 Lynnhaven Parkway
Virginia Beach, VA 23452",621 Lynnhaven Parkway,Virginia Beach,VA,23452,United States,US,36.8276153,-76.0677208,geocoded
