Company Name,Website,Score,Tier,Positive Signals,Negative Signals,Booth,Hall,City,State/Province,Country,Notes
Bale Defence,https://www.baledefence.com,100,A,"cnc, ems, erp, fabrication, fabricator, inventory, itar, machining, manufacturer, manufacturing, mes, sheet metal, warehouse, welding",magazine,525,Hall ABC,,,USA,"Positive: cnc, ems, erp, fabrication, fabricator, inventory; Negative: magazine"
Choctaw Defense,https://www.choctawdefense.com,100,A,"as9100, assembly, cnc, distribution, ems, erp, fabrication, iso 9001, itar, machining, manufacturer, manufacturing, mes",,655,Hall ABC,McAlester,OK,United States,"Positive: as9100, assembly, cnc, distribution, ems, erp"
APEX Space & Defense Systems,https://www.apexsds.com,92,A,"as9100, assembly, cnc, composite, ems, fabrication, iso 9001, itar, machining, manufacturer, manufacturing, mes",,3703,Hall ABC,Santa Ana,CA,United States,"Positive: as9100, assembly, cnc, composite, ems, fabrication"
AML3D Limited,https://aml3d.com/,84,A,"3d printing, additive manufacturing, distribution, ems, erp, fabrication, inventory, manufacturer, manufacturing, mes, supply chain, welding",media,525,Hall ABC,,,USA,"Positive: 3d printing, additive manufacturing, distribution, ems, erp, fabrication; Negative: media"
Mistral Group,https://www.mistralinc.com,77,A,"assembly, ems, fabrication, fabricator, itar, kitting, manufacturing, mes, odm, oem",,3313,Hall ABC,7910 WOODMONT AVE,ST,USA,"Positive: assembly, ems, fabrication, fabricator, itar, kitting"
Ducommun Incorporated,https://www.ducommun.com,74,A,"assembly, composite, ems, fabrication, itar, kitting, machining, manufacturer, manufacturing, mes, routing, sheet metal, supply chain, welding","college, magazine, university",3411,Hall ABC,Costa Mesa,CA,United States,"Positive: assembly, composite, ems, fabrication, itar, kitting; Negative: college, magazine, university"
Decavo,https://www.decavo.com/,72,A,"as9100, assembly, cnc, composite, ems, fabrication, iso 9001, manufacturer, manufacturing, mes, traceability",media,3703,Hall ABC,Hood River,OR,United States,"Positive: as9100, assembly, cnc, composite, ems, fabrication; Negative: media"
Electromet Rugged Enclosures,https://electromet.com/,70,A,"assembly, distribution, ems, fabrication, iso 9001, itar, machining, sheet metal, welding",,1667,Hall ABC,Hagerstown,MD,United States,"Positive: assembly, distribution, ems, fabrication, iso 9001, itar"
Gevasol Octal Solutions,https://www.octalcorporation.com,65,B,"as9100, assembly, cnc, ems, fabrication, kitting, machining, manufacturing",,542,Hall ABC,Teaneck,NJ,United States,"Positive: as9100, assembly, cnc, ems, fabrication, kitting"
Aeroservices S.A.,https://aeroservices.gr,63,B,"distribution, ems, erp, itar, manufacturer, mes, oem, warehouse",,7219,Hall DE,,,Greece,"Positive: distribution, ems, erp, itar, manufacturer, mes"
Global Technical Systems,https://gts.us.com/,62,B,"assembly, composite, ems, erp, inventory, manufacturing, mes, supply chain",,6154,Hall DE,Virginia Beach,VA,United States,"Positive: assembly, composite, ems, erp, inventory, manufacturing"
National Defense Corporation,https://www.nationaldefensecorp.com,62,B,"assembly, ems, inventory, iso 9001, manufacturer, manufacturing, mes, supply chain",,761,Hall ABC,Janesville,WI,United States,"Positive: assembly, ems, inventory, iso 9001, manufacturer, manufacturing"
Integrated Procurement Technologies (IPT),https://www.iptsb.com/,61,B,"assembly, distribution, ems, erp, itar, manufacturer, manufacturing, mes, oem",media,3855,Hall ABC,Goleta,CA,United States,"Positive: assembly, distribution, ems, erp, itar, manufacturer; Negative: media"
Northwest UAV,https://www.nwuav.com,59,B,"as9100, cnc, distribution, ems, erp, machining, manufacturer, manufacturing",consulting,3703,Hall ABC,McMinnville,OR,United States,"Positive: as9100, cnc, distribution, ems, erp, machining; Negative: consulting"
General Dynamics Ordnance and Tactical Systems,https://www.gd-ots.com,58,B,"bom, composite, ems, fabrication, itar, manufacturer, manufacturing",,6041,Hall DE,Saint Petersburg,FL,United States,"Positive: bom, composite, ems, fabrication, itar, manufacturer"
Axnes,https://www.axnes.com/,55,B,"as9100, ems, erp, itar, manufacturer, mes, oem",,7141,Hall DE,Arlington,VA,United States,"Positive: as9100, ems, erp, itar, manufacturer, mes"
"Control Solutions, LLC",https://www.controls.com,55,B,"assembly, ems, erp, itar, manufacturing, mes, oem",,7717,Hall DE,Aurora,IL,United States,"Positive: assembly, ems, erp, itar, manufacturing, mes"
NOBLE,https://www.noble.com,54,B,"distribution, ems, erp, fulfillment, itar, manufacturer, supply chain",,8315,Hall DE,,NO,USA,"Positive: distribution, ems, erp, fulfillment, itar, manufacturer"
OSI Optoelectronics,https://www.osioptoelectronics.com,54,B,"as9100, assembly, ems, fabrication, itar, manufacturer, manufacturing, oem",foundation,8201,Hall DE,,OS,USA,"Positive: as9100, assembly, ems, fabrication, itar, manufacturer; Negative: foundation"
Panasonic Connect,https://www.connect.na.panasonic.com/toughbook,53,B,"assembly, ems, erp, itar, manufacturer, manufacturing, warehousing, welding",media,2118,Hall ABC,Newark,NJ,United States,"Positive: assembly, ems, erp, itar, manufacturer, manufacturing; Negative: media"
"Accurate Energetic Systems, LLC",https://www.aesys.biz,52,B,"assembly, bom, ems, erp, itar, manufacturing",,4021,Hall ABC,McEwen,TN,United States,"Positive: assembly, bom, ems, erp, itar, manufacturing"
General Dynamics Mission Systems,https://www.gdmissionsystems.com,52,B,"distribution, ems, erp, manufacturer, manufacturing, mes",,6227,Hall DE,Chantilly,VA,United States,"Positive: distribution, ems, erp, manufacturer, manufacturing, mes"
Airborne Systems,https://www.airborne-sys.com,51,B,"assembly, ems, erp, iso 9001, itar, manufacturer, manufacturing, mes",foundation,1311,Hall ABC,Pennsauken,NJ,United States,"Positive: assembly, ems, erp, iso 9001, itar, manufacturer; Negative: foundation"
