State,total_schools,total_program_offerings,unique_programs
CA,121,330,11
TX,70,236,9
OH,63,164,9
FL,60,225,9
NC,48,172,9
PA,47,163,9
IL,45,160,9
TN,34,127,8
OK,33,98,9
WA,32,91,8
KS,30,99,9
VA,26,102,9
MO,26,92,9
AL,23,104,9
MI,22,65,8
NY,21,54,8
CO,19,74,9
GA,19,91,9
KY,17,86,8
MN,17,62,9
OR,15,50,9
NJ,15,44,9
WV,14,36,9
MS,14,56,9
MT,14,40,8
IA,14,67,9
MD,13,39,9
LA,12,37,8
AR,12,35,8
UT,11,43,9
NM,11,29,8
AZ,11,33,9
SC,10,31,8
WI,9,21,7
CT,9,24,8
NE,8,28,9
ME,8,28,7
WY,7,19,8
MA,7,16,7
ND,7,21,8
ID,6,20,7
HI,5,16,7
NV,5,23,8
NH,5,11,4
AK,3,13,8
IN,3,14,7
RI,2,6,5
VT,2,4,4
DE,2,7,7
,2,2,2
SD,1,1,1
PW,1,3,3
MH,1,1,1
