id,source,institution_name,phone,contact_name,contact_position,contact_email,contact_phone,address,website,programs,location_parsed.city,location_parsed.state,location_parsed.country,processed_at,program_categories.welding,program_categories.hvac,program_categories.automotive,program_categories.construction,program_categories.electronics,program_categories.machining,program_categories.cad_cam,program_categories.plumbing,program_categories.woodworking
ts_0000,TRADE_SCHOOLS,Central Alabama Community College,2562346346,Jeff Lynn,President,jlynn@cacc.edu,2562154300,"1675 Cherokee Rd, Alexander City, AL 35010",www.cacc.edu/,Woodworking & Carpentry|Electronics|Welding,1675 Cherokee Rd,Alexander City,AL 35010,2025-09-22T09:01:54.559513,True,False,False,False,True,False,False,False,True
ts_0002,TRADE_SCHOOLS,Chattahoochee Valley Community College,3342914900,Jacqueline Screws,President,jackie.screws@cv.edu,3342914981,"2602 College Drive, Phenix City, AL 36869",https://www.cv.edu/,Welding|Woodworking & Carpentry|Diesel & Automotive Tech,2602 College Drive,Phenix City,AL 36869,2025-09-22T09:01:54.559562,True,False,True,False,False,False,False,False,True
ts_0004,TRADE_SCHOOLS,Enterprise State Community College,3343472623,Admissions Office,Admissions Office,admissions@escc.edu,3343472623,"600 Plaza Drive, Enterprise, AL 36330-1300",www.escc.edu/,Welding|Woodworking & Carpentry|Machine & Mechanical Systems|Diesel & Automotive Tech,600 Plaza Drive,Enterprise,AL 36330-1300,2025-09-22T09:01:54.559600,True,False,True,False,False,True,False,False,True
ts_0005,TRADE_SCHOOLS,Coastal Alabama Community College,2515802111,Adult Education Office,Adult Education Office,adulted@coastalalabama.edu,2515802105,"1900 U S Highway 31 South, Bay Minette, AL 36507-2698",www.coastalalabama.edu/,Welding|HVAC|Construction|CAD/CAM Drafting,1900 U S Highway 31 South,Bay Minette,AL 36507-2698,2025-09-22T09:01:54.559624,True,True,False,True,False,False,True,False,False
ts_0007,TRADE_SCHOOLS,Gadsden State Community College,2569271800,Business Office,Business Office,businessoffice@gadsdenstate.edu,2565498612,"1001 George Wallace Dr, Gadsden, AL 35903",www.gadsdenstate.edu/,Welding|HVAC|Diesel & Automotive Tech|Machine & Mechanical Systems|Electronics,1001 George Wallace Dr,Gadsden,AL 35903,2025-09-22T09:01:54.559657,True,True,True,False,True,True,False,False,False
ts_0009,TRADE_SCHOOLS,George C Wallace Community College-Dothan,3349833521,Career Services,Career Services,sharris@wallace.edu,3345562208,"1141 Wallace Drive, Dothan, AL 36303-9234",www.wallace.edu/,HVAC|Diesel & Automotive Tech|Electronics|Welding,1141 Wallace Drive,Dothan,AL 36303-9234,2025-09-22T09:01:54.559689,True,True,True,False,True,False,False,False,False
ts_0010,TRADE_SCHOOLS,George C Wallace State Community College-Hanceville,2563528000,Adam West,Career Services,adam.west@wallacestate.edu,2563527424,"801 Main St NW, Hanceville, AL 35077-2000",https://www.wallacestate.edu/,Diesel & Automotive Tech|Electronics|Construction|HVAC|Machine & Mechanical Systems|Welding,801 Main St NW,Hanceville,AL 35077-2000,2025-09-22T09:01:54.559710,True,True,True,True,True,True,False,False,False
ts_0012,TRADE_SCHOOLS,George C Wallace State Community College-Selma,3348769227,Sabrena Fulford,Administrative Assistant to the President,sabrena.fulford@wccs.edu,3348769231,"3000 Earl Goodwin Parkway, Selma, AL 36702-2808",https://www.wccs.edu/,CAD/CAM Drafting |Electronics|Welding|Construction,3000 Earl Goodwin Parkway,Selma,AL 36702-2808,2025-09-22T09:01:54.559741,True,False,False,True,True,False,True,False,False
ts_0014,TRADE_SCHOOLS,J. F. Drake State Community and Technical College,2565398161,Darcel Forde,Workforce Development Coordinator,darcel.forde@drakestate.edu,2565515229,"3421 Meridian St N, Huntsville, AL 35811",https://drakestate.edu/,Diesel & Automotive Tech|Electronics|HVAC|Machine & Mechanical Systems|Welding,3421 Meridian St N,Huntsville,AL 35811,2025-09-22T09:01:54.559773,True,True,True,False,True,True,False,False,False
ts_0016,TRADE_SCHOOLS,J F Ingram State Technical College,3342855177,Kimberly Brashears,Administrative Assistant to the President,—,33429032403265,"5375 Ingram Rd, Deatsville, AL 36022",www.istc.edu/,Woodworking & Carpentry|HVAC|Electronics|Plumbing & Pipefitting|Welding|Diesel & Automotive Tech,5375 Ingram Rd,Deatsville,AL 36022,2025-09-22T09:01:54.559807,True,True,True,False,True,False,False,True,True
ts_0018,TRADE_SCHOOLS,Jefferson State Community College,2058531200,Leah M. Bigbee,Dean of Workforce,leah.bigbee@jeffersonstate.edu,2058567710,"2601 Carson Rd, Birmingham, AL 35215-3098",www.jeffersonstate.edu/,Welding|Electronics|HVAC,2601 Carson Rd,Birmingham,AL 35215-3098,2025-09-22T09:01:54.559837,True,True,False,False,True,False,False,False,False
ts_0020,TRADE_SCHOOLS,John C Calhoun State Community College,2563062500,Kelli Morris,Director of Career Services and Cooperative Learning,kelli.morris@calhoun.edu,2563062602,"6250 U S Highway 31 N, Tanner, AL 35671",https://calhoun.edu/,Electronics|Machine & Mechanical Systems|HVAC|Diesel & Automotive Tech|Welding|CAD/CAM Drafting,6250 U S Highway 31 N,Tanner,AL 35671,2025-09-22T09:01:54.559867,True,True,True,False,True,True,True,False,False
ts_0022,TRADE_SCHOOLS,Lawson State Community College,2059252515,Dr. Cynthia Anthony,President,canthony@lawsonstate.edu,2059296300,"3060 Wilson Rd SW, Birmingham, AL 35221-1717",www.lawsonstate.edu/,HVAC|Diesel & Automotive Tech|Construction|Electronics|CAD/CAM Drafting |Welding|Machine & Mechanical Systems,3060 Wilson Rd SW,Birmingham,AL 35221-1717,2025-09-22T09:01:54.559897,True,True,True,True,True,True,True,False,False
ts_0024,TRADE_SCHOOLS,Lurleen B Wallace Community College,3342226591,Brock Kelley,President,bkelley@lbwcc.edu,3348812212,"1000 Dannelly Blvd., Andalusia, AL 36420-1224",https://www.lbwcc.edu/,Diesel & Automotive Tech|Construction|Welding|Machine & Mechanical Systems,1000 Dannelly Blvd.,Andalusia,AL 36420-1224,2025-09-22T09:01:54.559927,True,False,True,True,False,True,False,False,False
ts_0026,TRADE_SCHOOLS,Northwest Shoals Community College,2563315200,Jeff Goodwin,President,jeff.goodwin@nwscc.edu,2563315214,"800 George Wallace Blvd, Muscle Shoals, AL 35661",https://www.nwscc.edu/,HVAC|Diesel & Automotive Tech|Woodworking & Carpentry|Electronics|Welding|Machine & Mechanical Systems,800 George Wallace Blvd,Muscle Shoals,AL 35661,2025-09-22T09:01:54.559956,True,True,True,False,True,True,False,False,True
ts_0028,TRADE_SCHOOLS,Northeast Alabama Community College,2566384418,J. David Campbell,President,campbelld@nacc.edu,,"138 Highway 35, Rainsville, AL 35986",https://www.nacc.edu/,Woodworking & Carpentry|Construction|Welding|Machine & Mechanical Systems|Electronics,138 Highway 35,Rainsville,AL 35986,2025-09-22T09:01:54.560000,True,False,False,True,True,True,False,False,True
ts_0030,TRADE_SCHOOLS,Reid State Technical College,2515781313,Dr. Coretta Boykin,President,cboykin@rstc.edu,2515781313137,"100 and Hwy 83, Evergreen, AL 36401",www.rstc.edu/,Diesel & Automotive Tech|Electronics|Welding,100 and Hwy 83,Evergreen,AL 36401,2025-09-22T09:01:54.560031,True,False,True,False,True,False,False,False,False
ts_0032,TRADE_SCHOOLS,Bishop State Community College,2514057000,Downtown Campus,Downtown Campus,—,2514057000,"351 North Broad Street, Mobile, AL 36603-5898",www.bishop.edu/,HVAC|Diesel & Automotive Tech|CAD/CAM Drafting |Electronics|Machine & Mechanical Systems,351 North Broad Street,Mobile,AL 36603-5898,2025-09-22T09:01:54.560061,False,True,True,False,True,True,True,False,False
ts_0034,TRADE_SCHOOLS,Shelton State Community College,2053912211,Jonathan Koh,President's Office,jkoh@sheltonstate.edu,2053912251,"9500 Old Greensboro Rd, Tuscaloosa, AL 35405-8522",www.sheltonstate.edu/,Machine & Mechanical Systems|Electronics|Construction|Welding|HVAC|Diesel & Automotive Tech,9500 Old Greensboro Rd,Tuscaloosa,AL 35405-8522,2025-09-22T09:01:54.560091,True,True,True,True,True,True,False,False,False
ts_0036,TRADE_SCHOOLS,Snead State Community College,2565935120,Mr. Joe Whitmore,President,joe.whitmore@snead.edu,2568404100,"102 Elder Street, Boaz, AL 35957-0734",www.snead.edu/,Welding|Machine & Mechanical Systems|Electronics|HVAC,102 Elder Street,Boaz,AL 35957-0734,2025-09-22T09:01:54.560120,True,True,False,False,True,True,False,False,False
ts_0039,TRADE_SCHOOLS,H Councill Trenholm State Community College,3344204200,Dr. Kemba Chambers,President,kchambers@trenholmstate.edu,3344204216,"1225 Air Base Blvd, Montgomery, AL 36108-3199",www.trenholmstate.edu/,Welding|Machine & Mechanical Systems|HVAC|Electronics|Diesel & Automotive Tech,1225 Air Base Blvd,Montgomery,AL 36108-3199,2025-09-22T09:01:54.560160,True,True,True,False,True,True,False,False,False
ts_0041,TRADE_SCHOOLS,Bevill State Community College,2053870511,Dr. Joel Hagood,President,joel.hagood@bscc.edu,20538705115401,"1411 Indiana Avenue, Jasper, AL 35501",www.bscc.edu/,Welding|Electronics|Machine & Mechanical Systems|HVAC,1411 Indiana Avenue,Jasper,AL 35501,2025-09-22T09:01:54.560190,True,True,False,False,True,True,False,False,False
